NUMBER_I,MAG_APER_I,MAGERR_APER_I,MAG_AUTO_I,MAGERR_AUTO_I,MAG_BEST_I,MAGERR_BEST_I,KRON_RADIUS_I,BACKGROUND_I,THRESHOLD_I,ISOAREA_IMAGE_I,ISOAREAF_IMAGE_I,ALPHAPEAK_J2000_I,DELTAPEAK_J2000_I,X_IMAGE_I,Y_IMAGE_I,FWHM_IMAGE_I,FWHM_WORLD_I,ELONGATION_I,ELLIPTICITY_I,CLASS_STAR_I,FLUX_RADIUS_I,FILE_NAME_I,NUMBER_R,MAG_APER_R,MAGERR_APER_R,MAG_AUTO_R,MAGERR_AUTO_R,MAG_BEST_R,MAGERR_BEST_R,KRON_RADIUS_R,BACKGROUND_R,THRESHOLD_R,ISOAREA_IMAGE_R,ISOAREAF_IMAGE_R,ALPHAPEAK_J2000_R,DELTAPEAK_J2000_R,X_IMAGE_R,Y_IMAGE_R,FWHM_IMAGE_R,FWHM_WORLD_R,ELONGATION_R,ELLIPTICITY_R,CLASS_STAR_R,FLUX_RADIUS_R,FILE_NAME_R,NUMBER_G,MAG_APER_G,MAGERR_APER_G,MAG_AUTO_G,MAGERR_AUTO_G,MAG_BEST_G,MAGERR_BEST_G,KRON_RADIUS_G,BACKGROUND_G,THRESHOLD_G,ISOAREA_IMAGE_G,ISOAREAF_IMAGE_G,ALPHAPEAK_J2000_G,DELTAPEAK_J2000_G,X_IMAGE_G,Y_IMAGE_G,FWHM_IMAGE_G,FWHM_WORLD_G,ELONGATION_G,ELLIPTICITY_G,CLASS_STAR_G,FLUX_RADIUS_G,FILE_NAME_G
4739,-11.5274,0.0086,-12.0764,0.0136,-12.0764,0.0136,4.03,4282.932,158.8562,73,80,148.6687896,+69.2681334,1284.037,3043.629,3.54,0.000183901,1.169,0.144,0.97,2.111,dataset\i24.cat,3439,-11.0530,0.0095,-11.8288,0.0128,-11.8288,0.0128,3.89,2226.6,108.2077,85,96,148.6674871,+69.2681608,1317.624,3124.326,4.32,0.0002245333,1.108,0.098,0.98,2.545,dataset\r24.cat,3640,-10.9557,0.0092,-11.9098,0.0113,-11.9098,0.0113,3.84,1523.938,90.98881,106,121,148.6640351,+69.2697841,1260.172,3179.481,5.09,0.000264571,1.080,0.074,0.98,2.885,dataset\g24.cat
744,-10.6640,0.0177,-11.3528,0.0315,-11.3528,0.0315,4.94,4811.447,158.8562,47,57,148.6613141,+69.1224778,1350.897,240.376,3.82,0.0001984199,1.331,0.249,0.98,2.365,dataset\i24.cat,562,-10.5342,0.0144,-11.2432,0.0215,-11.2432,0.0215,4.41,2633.031,108.2077,57,79,148.6597524,+69.1225044,1385.753,321.164,4.11,0.0002136353,1.221,0.181,0.97,2.414,dataset\r24.cat,621,-10.9521,0.0092,-12.1582,0.0129,-11.9766,0.0135,5.02,1910.681,90.98881,136,145,148.6544951,+69.1241244,1341.248,376.582,5.06,0.0002628954,1.325,0.245,0.98,3.592,dataset\g24.cat
4885,-11.3610,0.0098,-14.3761,0.0055,-14.3761,0.0055,3.99,4374.694,158.8562,733,787,148.8158027,+69.3012924,280.617,3676.504,31.12,0.001616473,2.991,0.666,0.01,10.133,dataset\i24.cat,3581,-10.9804,0.0101,-14.0787,0.0054,-14.0787,0.0054,4.14,2247.812,108.2077,809,861,148.8143471,+69.3012199,314.210,3756.939,31.82,0.001652622,2.910,0.656,0.02,10.594,dataset\r24.cat,3852,-10.9456,0.0092,-14.0298,0.0044,-14.0298,0.0044,3.71,1566.952,90.98881,842,888,148.8115080,+69.3026809,253.601,3807.532,33.08,0.00171825,2.842,0.648,0.02,10.221,dataset\g24.cat
3421,-11.0149,0.0131,-11.9690,0.0221,-11.9690,0.0221,5.67,4876.568,158.8562,67,103,148.8111786,+69.1818769,318.457,1379.434,3.57,0.0001856513,1.306,0.234,0.95,3.079,dataset\i24.cat,2305,-10.7668,0.0119,-12.8736,0.0158,-12.4443,0.0191,5.63,2674.24,108.2077,257,284,148.8097494,+69.1819082,353.446,1459.020,7.42,0.0003856731,1.857,0.461,0.83,10.477,dataset\r24.cat,2316,-10.9358,0.0093,-12.7270,0.0089,-12.6781,0.0094,3.84,1944.206,90.98881,258,266,148.8052537,+69.1833157,304.174,1509.777,11.92,0.000619135,2.449,0.592,0.43,5.416,dataset\g24.cat
4716,-10.7009,0.0172,-11.1733,0.0266,-11.1733,0.0266,4.10,4335.281,158.8562,42,47,148.8240727,+69.2627100,226.042,2935.051,3.22,0.0001671836,1.164,0.141,0.97,1.973,dataset\i24.cat,3418,-10.6207,0.0133,-11.2940,0.0182,-11.2978,0.0212,3.69,2261.383,108.2077,61,69,148.8226254,+69.2626897,260.079,3015.070,4.28,0.000222189,1.114,0.103,0.97,2.357,dataset\r24.cat,3606,-10.9329,0.0093,-12.1539,0.0123,-11.9760,0.0132,5.07,1561.319,90.98881,115,141,148.8191887,+69.2636303,203.098,3056.726,5.41,0.0002809016,1.177,0.150,0.98,3.577,dataset\g24.cat
2970,-12.5851,0.0038,-14.0916,0.0063,-14.0164,0.0070,4.44,5049.927,158.8562,471,554,148.7684786,+69.1711224,613.227,1173.571,7.24,0.0003761824,1.782,0.439,0.92,5.510,dataset\i24.cat,2030,-11.3046,0.0078,-13.4785,0.0071,-13.4074,0.0095,3.66,2812.522,108.2077,468,567,148.7670518,+69.1711524,648.174,1254.477,8.69,0.0004516345,2.156,0.536,0.17,6.984,dataset\r24.cat,2118,-10.9253,0.0094,-12.5000,0.0086,-12.1788,0.0090,3.91,2053.606,90.98881,118,118,148.7624031,+69.1726134,597.214,1306.336,9.89,0.0005137599,1.302,0.232,0.65,4.297,dataset\g24.cat
2494,-10.7166,0.0170,-11.3292,0.0291,-11.3292,0.0291,4.58,5563.359,158.8562,54,57,148.7778312,+69.1571635,548.378,903.256,4.41,0.0002293044,1.066,0.062,0.85,2.254,dataset\i24.cat,1730,-10.5544,0.0141,-11.5455,0.0223,-11.5455,0.0223,5.35,3173.921,108.2077,71,91,148.7764075,+69.1571938,583.124,984.160,4.58,0.0002379801,1.165,0.142,0.98,3.050,dataset\r24.cat,1613,-10.9014,0.0095,-11.9298,0.0117,-11.9298,0.0117,3.70,2484.898,90.98881,127,142,148.7716095,+69.1586023,535.824,1035.587,5.65,0.0002936136,1.069,0.064,0.98,3.043,dataset\g24.cat
2,-11.6713,0.0076,-14.5999,0.0065,-14.4878,0.0064,3.50,7020.285,158.8562,874,970,148.7915215,+69.1169804,455.934,128.060,38.70,0.002010348,1.810,0.447,0.03,11.845,dataset\i24.cat,242,-11.3165,0.0077,-13.6056,0.0083,-13.6303,0.0076,3.50,4199.193,108.2077,523,622,148.7901070,+69.1170110,494.153,209.509,46.09,0.002394014,1.706,0.414,0.03,6.621,dataset\r24.cat,281,-10.8978,0.0096,-13.5170,0.0062,-13.5582,0.0069,3.50,3300.204,90.98881,621,662,148.7847141,+69.1184182,450.654,259.960,19.89,0.001033164,1.911,0.477,0.03,7.650,dataset\g24.cat
4120,-11.5012,0.0088,-12.4055,0.0128,-12.3718,0.0146,3.80,4492.502,158.8562,108,119,148.7127008,+69.2120673,990.054,1962.831,5.12,0.0002658329,1.381,0.276,0.86,2.891,dataset\i24.cat,2902,-11.0199,0.0097,-12.3931,0.0126,-12.3931,0.0126,4.47,2387.519,108.2077,159,198,148.7112653,+69.2120438,1023.772,2042.653,9.11,0.0004733601,1.637,0.389,0.43,4.086,dataset\r24.cat,3008,-10.8953,0.0096,-12.5262,0.0109,-12.5262,0.0109,4.51,1694.303,90.98881,207,226,148.7072096,+69.2136640,971.351,2096.507,10.45,0.0005429513,1.524,0.344,0.40,4.659,dataset\g24.cat
4753,-12.9957,0.0029,-13.4760,0.0038,-13.4760,0.0038,3.50,4300.343,158.8562,123,133,148.7066118,+69.2704896,1025.734,3088.200,3.32,0.0001725018,1.011,0.011,0.98,2.005,dataset\i24.cat,3457,-11.8705,0.0052,-12.5724,0.0066,-12.5724,0.0066,3.64,2235.505,108.2077,118,125,148.7053089,+69.2705181,1059.384,3168.788,4.19,0.0002176516,1.073,0.068,0.98,2.400,dataset\r24.cat,3655,-10.8919,0.0096,-11.7534,0.0127,-11.7534,0.0127,3.94,1532.819,90.98881,103,107,148.7020081,+69.2720879,1001.440,3222.934,4.65,0.0002416681,1.126,0.112,0.97,2.717,dataset\g24.cat
